sample,parameter,motion,material,id,elev_min,elev_max,nparts,npoints,perimeter,area
id3-3,tri,Impact,Flint,2,0.002,0.003,149,9811,112.38,5.891
id3-3,tri,Impact,Flint,3,0.003,0.004,221,18272,212.598,12.532
id3-3,tri,Impact,Flint,4,0.004,0.005,259,21822,254.199,12.947
id3-3,tri,Impact,Flint,5,0.005,0.006,238,21355,249.952,10.738
id3-3,tri,Impact,Flint,6,0.006,0.007,277,23638,275.913,11.137
id3-3,tri,Impact,Flint,7,0.007,0.008,287,24797,289.363,10.718
id3-3,tri,Impact,Flint,8,0.008,0.009,248,23780,279.329,9.526
id3-3,tri,Impact,Flint,9,0.009,0.01,247,23361,274.111,8.472
id3-3,tri,Impact,Flint,10,0.01,0.011,247,22763,265.637,7.08
id3-3,tri,Impact,Flint,11,0.011,0.012,237,22296,258.269,6.899
id3-3,tri,Impact,Flint,12,0.012,0.013,238,21665,250.134,5.738
id3-3,tri,Impact,Flint,13,0.013,0.014,228,20082,231.7,5.102
id3-3,tri,Impact,Flint,14,0.014,0.015,197,17817,204.761,4.109
id3-3,tri,Impact,Flint,15,0.015,0.016,176,15465,177.027,3.122
id3-3,tri,Impact,Flint,16,0.016,0.017,151,13038,148.958,2.292
id3-3,tri,Impact,Flint,17,0.017,0.018,108,10658,122.066,1.737
id3-3,tri,Impact,Flint,18,0.018,0.019,90,8314,94.245,1.259
id3-3,tri,Impact,Flint,19,0.019,0.02,84,5764,64.205,0.785
id3-3,tri,Impact,Flint,20,0.02,0.021,61,3695,40.756,0.434
id3-3,tri,Impact,Flint,21,0.021,0.022,35,2591,28.636,0.242
id3-3,tri,Impact,Flint,22,0.022,0.023,24,2263,24.863,0.212
id3-3,tri,Impact,Flint,23,0.023,0.024,32,2215,24.205,0.213
id3-3,tri,Impact,Flint,24,0.024,0.025,35,2068,22.561,0.201
id3-3,tri,Impact,Flint,25,0.025,0.026,26,1708,18.597,0.148
id3-3,tri,Impact,Flint,26,0.026,0.027,18,1446,15.639,0.123
id3-3,tri,Impact,Flint,27,0.027,0.028,20,1276,13.648,0.106
id3-3,tri,Impact,Flint,28,0.028,0.029,21,1105,11.771,0.089
id3-3,tri,Impact,Flint,29,0.029,0.03,17,869,9.324,0.064
id3-3,tri,Impact,Flint,30,0.03,0.031,12,645,6.957,0.048
id3-3,tri,Impact,Flint,31,0.031,0.032,9,459,4.964,0.03
id3-3,tri,Impact,Flint,32,0.032,0.033,7,325,3.524,0.026
id3-3,tri,Impact,Flint,33,0.033,0.034,5,247,2.594,0.014
id3-3,tri,Impact,Flint,34,0.034,0.035,4,171,1.749,0.01
id3-3,tri,Impact,Flint,35,0.035,0.036,4,113,1.153,0.003
id3-3,tri,Impact,Flint,36,0.036,0.037,3,88,0.9,0.003
id3-3,tri,Impact,Flint,37,0.037,0.038,3,68,0.676,0.003
id3-3,tri,Impact,Flint,38,0.038,0.039,3,43,0.413,0.002
id3-3,tri,Impact,Flint,39,0.039,0.04,2,22,0.189,0.001
id3-3,tri,Impact,Flint,40,0.04,0.041,1,7,0.039,0
id3-8,tri,Impact,Bone,0,0,0.002,14,488,5.72,0.203
id3-8,tri,Impact,Bone,1,0.002,0.003,84,6622,79.741,6.343
id3-8,tri,Impact,Bone,2,0.003,0.004,162,13111,161.963,15.639
id3-8,tri,Impact,Bone,3,0.004,0.005,215,18880,235.928,23.641
id3-8,tri,Impact,Bone,4,0.005,0.006,266,27169,338.812,39.005
id3-8,tri,Impact,Bone,5,0.006,0.007,238,25813,321.494,29.121
id3-8,tri,Impact,Bone,6,0.007,0.008,158,15561,190.373,14.303
id3-8,tri,Impact,Bone,7,0.008,0.009,88,7300,86.875,5.439
id3-8,tri,Impact,Bone,8,0.009,0.01,37,3254,38.814,2.176
id3-8,tri,Impact,Bone,9,0.01,0.011,14,1480,17.555,0.8
id3-8,tri,Impact,Bone,10,0.011,0.012,7,641,7.485,0.178
id3-8,tri,Impact,Bone,11,0.012,0.013,5,225,2.805,0.068
id3-8,tri,Impact,Bone,12,0.013,0.014,2,72,0.943,0.022
id3-9,tri,Impact,Bone,0,0,0.001,168,14619,145.066,23.041
id3-9,tri,Impact,Bone,1,0.001,0.002,270,25521,253.877,28.352
id3-9,tri,Impact,Bone,2,0.002,0.003,196,20570,204.875,20.3
id3-9,tri,Impact,Bone,3,0.003,0.004,202,23154,229.777,21.656
id3-9,tri,Impact,Bone,4,0.004,0.005,172,23560,235.105,23.984
id3-9,tri,Impact,Bone,5,0.005,0.006,133,20011,200.837,17.31
id3-9,tri,Impact,Bone,6,0.006,0.007,107,16817,166.797,13.317
id3-9,tri,Impact,Bone,7,0.007,0.008,75,10381,103.438,6.629
id3-9,tri,Impact,Bone,8,0.008,0.009,37,5373,54.101,2.824
id3-9,tri,Impact,Bone,9,0.009,0.01,15,2595,26.231,0.932
id3-9,tri,Impact,Bone,10,0.01,0.011,8,2047,20.108,0.566
id3-9,tri,Impact,Bone,11,0.011,0.012,4,1654,16.981,0.53
id3-9,tri,Impact,Bone,12,0.012,0.013,5,1487,15.035,0.411
id3-9,tri,Impact,Bone,13,0.013,0.014,7,1162,11.749,0.258
id3-9,tri,Impact,Bone,14,0.014,0.015,6,682,6.953,0.173
id3-9,tri,Impact,Bone,15,0.015,0.016,5,335,3.353,0.058
id3-9,tri,Impact,Bone,16,0.016,0.017,4,160,1.615,0.028
id3-9,tri,Impact,Bone,17,0.017,0.018,1,23,0.224,0.003
id6-1,tri,Grinding,Dry acorn,0,0,0.001,975,68784,792.312,128.043
id6-1,tri,Grinding,Dry acorn,1,0.001,0.002,1062,72935,843.289,73.541
id6-1,tri,Grinding,Dry acorn,2,0.002,0.003,114,5192,59.099,2.512
id6-1,tri,Grinding,Dry acorn,3,0.003,0.004,2,134,1.527,0.06
id6-3,tri,Grinding,Moist acorn,0,0,0.001,103,8216,91.642,7.789
id6-3,tri,Grinding,Moist acorn,1,0.001,0.002,207,17473,196.689,18.718
id6-3,tri,Grinding,Moist acorn,2,0.002,0.003,212,18556,206.812,18.968
id6-3,tri,Grinding,Moist acorn,3,0.003,0.004,256,20645,230.896,18.559
id6-3,tri,Grinding,Moist acorn,4,0.004,0.005,263,25262,282.301,27.301
id6-3,tri,Grinding,Moist acorn,5,0.005,0.006,202,22249,245.98,20.985
id6-3,tri,Grinding,Moist acorn,6,0.006,0.007,126,14529,158.934,13.832
id6-3,tri,Grinding,Moist acorn,7,0.007,0.008,79,9117,99.667,7.171
id6-3,tri,Grinding,Moist acorn,8,0.008,0.009,75,7732,83.923,5.557
id6-3,tri,Grinding,Moist acorn,9,0.009,0.01,75,8161,88.409,5.506
id6-3,tri,Grinding,Moist acorn,10,0.01,0.011,41,5925,64.448,3.448
id6-3,tri,Grinding,Moist acorn,11,0.011,0.012,23,2972,31.85,1.473
id6-3,tri,Grinding,Moist acorn,12,0.012,0.013,17,1127,11.698,0.37
id6-3,tri,Grinding,Moist acorn,13,0.013,0.014,7,452,4.526,0.123
id6-3,tri,Grinding,Moist acorn,14,0.014,0.015,5,224,2.122,0.041
id6-3,tri,Grinding,Moist acorn,15,0.015,0.016,1,50,0.456,0.007
id6-6,tri,Grinding,Dry acorn,0,0,0.001,53,4102,57.089,5.638
id6-6,tri,Grinding,Dry acorn,1,0.001,0.002,197,12093,169.829,13.035
id6-6,tri,Grinding,Dry acorn,2,0.002,0.003,375,23297,326.157,26.515
id6-6,tri,Grinding,Dry acorn,3,0.003,0.004,453,31703,439.609,34.55
id6-6,tri,Grinding,Dry acorn,4,0.004,0.005,399,26779,370.028,26.607
id6-6,tri,Grinding,Dry acorn,5,0.005,0.006,264,17910,245.568,16.172
id6-6,tri,Grinding,Dry acorn,6,0.006,0.007,151,11579,159.339,9.967
id6-6,tri,Grinding,Dry acorn,7,0.007,0.008,93,8011,109.71,5.95
