sample,parameter,motion,material,id,elev_min,elev_max,nparts,npoints,perimeter,area,areaperc,perimperc
id3-3,tri,Impact,Flint,13,0.013,0.014,228,20082,231.7,5.102,2.0614974342397674,5.251930600168506
id3-3,tri,Impact,Flint,14,0.014,0.015,197,17817,204.761,4.109,1.6602691017818902,4.641305833496346
id3-3,tri,Impact,Flint,15,0.015,0.016,176,15465,177.027,3.122,1.261465109701402,4.012660847458049
id3-3,tri,Impact,Flint,16,0.016,0.017,151,13038,148.958,2.292,0.9260980241625922,3.3764224356491166
id3-3,tri,Impact,Flint,17,0.017,0.018,108,10658,122.066,1.737,0.7018465392541113,2.7668630152791063
id3-3,tri,Impact,Flint,18,0.018,0.019,90,8314,94.245,1.259,0.5087074225221221,2.1362460052347036
id3-3,tri,Impact,Flint,19,0.019,0.02,84,5764,64.205,0.785,0.31718453270839225,1.4553310495633098
id3-3,tri,Impact,Flint,20,0.02,0.021,61,3695,40.756,0.434,0.1753606206311366,0.9238139125613621
id3-3,tri,Impact,Flint,21,0.021,0.022,35,2591,28.636,0.242,0.09778172855468908,0.6490905682625175
id3-3,tri,Impact,Flint,22,0.022,0.023,24,2263,24.863,0.212,0.08566002666774414,0.563568193836813
id3-3,tri,Impact,Flint,23,0.023,0.024,32,2215,24.205,0.213,0.08606408339730898,0.5486533456067271
id3-3,tri,Impact,Flint,24,0.024,0.025,35,2068,22.561,0.201,0.081215402642531,0.5113888919741116
id3-3,tri,Impact,Flint,25,0.025,0.026,26,1708,18.597,0.148,0.059800395975594965,0.4215371315120143
id3-3,tri,Impact,Flint,26,0.026,0.027,18,1446,15.639,0.123,0.0496989777364742,0.35448831530442493
id3-3,tri,Impact,Flint,27,0.027,0.028,20,1276,13.648,0.106,0.04283001333387207,0.309358432589986
id3-3,tri,Impact,Flint,28,0.028,0.029,21,1105,11.771,0.089,0.035961048931269946,0.26681258133182345
id3-3,tri,Impact,Flint,29,0.029,0.03,17,869,9.324,0.064,0.02585963069214918,0.21134657279227942
id3-3,tri,Impact,Flint,30,0.03,0.031,12,645,6.957,0.048,0.01939472301911188,0.15769391966064866
id3-3,tri,Impact,Flint,31,0.031,0.032,9,459,4.964,0.03,0.012121701886944926,0.11251870306101194
id3-3,tri,Impact,Flint,32,0.032,0.033,7,325,3.524,0.026,0.010505474968685603,0.07987830571857495
id3-3,tri,Impact,Flint,33,0.033,0.034,5,247,2.594,0.014,0.005656794213907633,0.058798049101584385
id3-3,tri,Impact,Flint,34,0.034,0.035,4,171,1.749,0.01,0.004040567295648309,0.03964448260550159
id3-3,tri,Impact,Flint,35,0.035,0.036,4,113,1.153,0.003,0.0012121701886944926,0.026134984816548495
id3-3,tri,Impact,Flint,36,0.036,0.037,3,88,0.9,0.003,0.0012121701886944926,0.020400248339023114
id3-3,tri,Impact,Flint,37,0.037,0.038,3,68,0.676,0.003,0.0012121701886944926,0.01532285319686625
id3-3,tri,Impact,Flint,38,0.038,0.039,3,43,0.413,0.002,8.081134591296619e-4,0.009361447293351716
id3-3,tri,Impact,Flint,39,0.039,0.04,2,22,0.189,0.001,4.0405672956483093e-4,0.0042840521511948535
id3-3,tri,Impact,Flint,40,0.04,0.041,1,7,0.039,0,0,8.840107613576682e-4
id3-8,tri,Impact,Bone,0,0,0.01,11,6559,56.444,135.87,49.61004250098585,3.6207187425629463
id3-8,tri,Impact,Bone,1,0.01,0.02,12,1248,13.965,1.068,0.38995749901415244,0.8958142094800429
id3-8,tri,Impact,Bone,0,0,0.002,14,488,5.72,0.203,0.07412113511224058,0.36692139478881813
id3-8,tri,Impact,Bone,1,0.002,0.003,84,6622,79.741,6.343,2.316011625699222,5.115153661163487
id3-8,tri,Impact,Bone,2,0.003,0.004,162,13111,161.963,15.639,5.710248433597687,10.389456269961775
id3-8,tri,Impact,Bone,3,0.004,0.005,215,18880,235.928,23.641,8.632008646248668,15.134096298904945
id3-8,tri,Impact,Bone,4,0.005,0.006,266,27169,338.812,39.005,14.241846675137657,21.73380622573235
id3-8,tri,Impact,Bone,5,0.006,0.007,238,25813,321.494,29.121,10.632914165534768,20.622906800041314
id3-8,tri,Impact,Bone,6,0.007,0.008,158,15561,190.373,14.303,5.222436431085602,12.211875295477565
id3-8,tri,Impact,Bone,7,0.008,0.009,88,7300,86.875,5.439,1.9859352407658941,5.572779051097653
id3-8,tri,Impact,Bone,8,0.009,0.01,37,3254,38.814,2.176,0.794520147804116,2.489805422610697
id3-8,tri,Impact,Bone,9,0.01,0.011,14,1480,17.555,0.8,0.29210299551621904,1.12610228767792
id3-8,tri,Impact,Bone,10,0.011,0.012,7,641,7.485,0.178,0.06499291650235872,0.4801410209780252
id3-8,tri,Impact,Bone,11,0.012,0.013,5,225,2.805,0.068,0.024828754618878623,0.17993260705990122
id3-8,tri,Impact,Bone,12,0.013,0.014,2,72,0.943,0.022,0.0080328323766960235,0.06049071246256214
id3-9,tri,Impact,Bone,0,0,0.01,6,8538,59.1,158.348,49.3683514784192,3.342635399357264
id3-9,tri,Impact,Bone,1,0.01,0.02,6,1424,12.844,2.028,0.6322720640502825,0.7264434698704686
id3-9,tri,Impact,Bone,0,0,0.001,168,14619,145.066,23.041,7.183521019616647,8.204784210544176
id3-9,tri,Impact,Bone,1,0.001,0.002,270,25521,253.877,28.352,8.839338047314403,14.359022796660307
id3-9,tri,Impact,Bone,2,0.002,0.003,196,20570,204.875,20.3,6.328956065197601,11.587519922898807
id3-9,tri,Impact,Bone,3,0.003,0.004,202,23154,229.777,21.656,6.75171785950341,12.995951508597528
id3-9,tri,Impact,Bone,4,0.004,0.005,172,23560,235.105,23.984,7.477521293975334,13.297297725311157
id3-9,tri,Impact,Bone,5,0.005,0.006,133,20011,200.837,17.31,5.396760073328594,11.35913478343003
id3-9,tri,Impact,Bone,6,0.006,0.007,107,16817,166.797,13.317,4.151857533016574,9.433867287759618
id3-9,tri,Impact,Bone,7,0.007,0.008,75,10381,103.438,6.629,2.066731515083492,5.850347215545121
id3-9,tri,Impact,Bone,8,0.008,0.009,37,5373,54.101,2.824,0.8804419669023656,3.059897085289802
id3-9,tri,Impact,Bone,9,0.009,0.01,15,2595,26.231,0.932,0.29057079077655984,1.483598462953306
id3-9,tri,Impact,Bone,10,0.01,0.011,8,2047,20.108,0.566,0.1764625188621597,1.1372878614259876
id3-9,tri,Impact,Bone,11,0.011,0.012,4,1654,16.981,0.53,0.165238754411563,0.9604279478254771
id3-9,tri,Impact,Bone,12,0.012,0.013,5,1487,15.035,0.411,0.128137977477646,0.8503641832375036
id3-9,tri,Impact,Bone,13,0.013,0.014,7,1162,11.749,0.258,0.0804369785626099,0.6645113926742554
id3-9,tri,Impact,Bone,14,0.014,0.015,6,682,6.953,0.173,0.05393642360981206,0.3932545504523021
id3-9,tri,Impact,Bone,15,0.015,0.016,5,335,3.353,0.058,0.018082731614850286,0.18964224186201195
id3-9,tri,Impact,Bone,16,0.016,0.017,4,160,1.615,0.028,0.008729594572686347,0.0913427439925885
id3-9,tri,Impact,Bone,17,0.017,0.018,1,23,0.224,0.003,9.353137042163943e-4,0.012669210312284723
id6-1,tri,Grinding,Dry acorn,0,0,0.01,1,7665,57.48,204.156,50,3.277628474996108
id6-1,tri,Grinding,Dry acorn,0,0,0.001,975,68784,792.312,128.043,31.35910774113913,45.17926882882945
id6-1,tri,Grinding,Dry acorn,1,0.001,0.002,1062,72935,843.289,73.541,18.010981798232724,48.08608279490246
id6-1,tri,Grinding,Dry acorn,2,0.002,0.003,114,5192,59.099,2.512,0.615215815356884,3.3699472032671367
id6-1,tri,Grinding,Dry acorn,3,0.003,0.004,2,134,1.527,0.06,0.01469464527126315,0.08707269800485486
id6-3,tri,Grinding,Moist acorn,0,0,0.01,33,9453,83.805,144.386,48.17716501277953,4.342070494852519
id6-3,tri,Grinding,Moist acorn,1,0.01,0.02,32,4400,45.912,5.464,1.823168656447491,2.378773826856021
id6-3,tri,Grinding,Moist acorn,0,0,0.001,103,8216,91.642,7.789,2.5989496092733355,4.74811794390877
id6-3,tri,Grinding,Moist acorn,1,0.001,0.002,207,17473,196.689,18.718,6.245620591395339,10.190770282943106
id6-3,tri,Grinding,Moist acorn,2,0.002,0.003,212,18556,206.812,18.968,6.329037898150805,10.715259032055833
id6-3,tri,Grinding,Moist acorn,3,0.003,0.004,256,20645,230.896,18.559,6.192567184298862,11.963089421627195
id6-3,tri,Grinding,Moist acorn,4,0.004,0.005,263,25262,282.301,27.301,9.109503566924037,14.626464325128104
id6-3,tri,Grinding,Moist acorn,5,0.005,0.006,202,22249,245.98,20.985,7.002048729053914,12.744615480267555
id6-3,tri,Grinding,Moist acorn,6,0.006,0.007,126,14529,158.934,13.832,4.615312748166488,8.23462361468755
id6-3,tri,Grinding,Moist acorn,7,0.007,0.008,79,9117,99.667,7.171,2.3927420269738207,5.163905972322247
id6-3,tri,Grinding,Moist acorn,8,0.008,0.009,75,7732,83.923,5.557,1.8541998945605245,4.348184262746948
id6-3,tri,Grinding,Moist acorn,9,0.009,0.01,75,8161,88.409,5.506,1.8371827639824094,4.580611065919889
id6-3,tri,Grinding,Moist acorn,10,0.01,0.011,41,5925,64.448,3.448,1.1504914947714031,3.339153502204583
id6-3,tri,Grinding,Moist acorn,11,0.011,0.012,23,2972,31.85,1.473,0.4914947714032126,1.6501992155724923
id6-3,tri,Grinding,Moist acorn,12,0.012,0.013,17,1127,11.698,0.37,0.12345761399809142,0.6060920070256519
id6-3,tri,Grinding,Moist acorn,13,0.013,0.014,7,452,4.526,0.123,0.04104131492368985,0.2344992668659686
id6-3,tri,Grinding,Moist acorn,14,0.014,0.015,5,224,2.122,0.041,0.013680438307896618,0.10994419891506525
id6-3,tri,Grinding,Moist acorn,15,0.015,0.016,1,50,0.456,0.007,0.002335684589153081,0.02362608610050413
id6-6,tri,Grinding,Dry acorn,0,0,0.01,7,5793,54.604,144.268,49.80976253115959,2.6401574308218216
id6-6,tri,Grinding,Dry acorn,1,0.01,0.02,12,764,9.261,0.551,0.19023746884041462,0.44777851378728456
id6-6,tri,Grinding,Dry acorn,0,0,0.001,53,4102,57.089,5.638,1.9465677846138976,2.7603096397367772
id6-6,tri,Grinding,Dry acorn,1,0.001,0.002,197,12093,169.829,13.035,4.500445383547739,8.211400196305018
id6-6,tri,Grinding,Dry acorn,2,0.002,0.003,375,23297,326.157,26.515,9.154530828137194,15.770013683330028
id6-6,tri,Grinding,Dry acorn,3,0.003,0.004,453,31703,439.609,34.55,11.928683390991514,21.2555301444244
id6-6,tri,Grinding,Dry acorn,4,0.004,0.005,399,26779,370.028,26.607,9.1862946160379515,17.89121994381615
id6-6,tri,Grinding,Dry acorn,5,0.005,0.006,264,17910,245.568,16.172,5.583521499250789,11.873455790272748
id6-6,tri,Grinding,Dry acorn,6,0.006,0.007,151,11579,159.339,9.967,3.4411921087702586,7.7041983164185455
id6-6,tri,Grinding,Dry acorn,7,0.007,0.008,93,8011,109.71,5.95,2.0542884566251667,5.30458705837415
id6-6,tri,Grinding,Dry acorn,8,0.008,0.009,72,5865,77.666,4.3,1.4846118257963388,3.7552279507400117
id6-6,tri,Grinding,Dry acorn,9,0.009,0.01,40,2700,35.238,1.534,0.5296266373887405,1.7037921681067203
id6-6,tri,Grinding,Dry acorn,10,0.01,0.011,13,914,11.417,0.41,0.14155601129686024,0.552023247155753
id6-6,tri,Grinding,Dry acorn,11,0.011,0.012,3,212,2.695,0.141,0.048681457543554366,0.13030591671058547
id6-7,tri,Grinding,Moist acorn,0,0,0.01,9,6011,58.469,101.599,49.17714595494632,4.373191362369268
id6-7,tri,Grinding,Moist acorn,1,0.01,0.02,20,2276,26.622,1.7,0.8228540450536791,1.991193631650869
id6-7,tri,Grinding,Moist acorn,0,0,0.001,51,3189,41.736,3.387,1.6394156768216535,3.1216459097956823
id6-7,tri,Grinding,Moist acorn,1,0.001,0.002,103,9772,128.94,12.895,6.24158994762776,9.644072829429158
id6-7,tri,Grinding,Moist acorn,2,0.002,0.003,121,13564,179.685,17.699,8.566878672591216,13.439547280564435
id6-7,tri,Grinding,Moist acorn,3,0.003,0.004,132,12956,171.545,14.004,6.7783812040774825,12.830715631490808
id6-7,tri,Grinding,Moist acorn,4,0.004,0.005,111,11775,152.165,12.684,6.139459239682862,11.381187700403968
id6-7,tri,Grinding,Moist acorn,5,0.005,0.006,103,9875,127.225,9.185,4.445832002245907,9.515799330883548
id6-7,tri,Grinding,Moist acorn,6,0.006,0.007,115,9923,127.344,9.529,4.612338938421475,9.52469994098671
id6-7,tri,Grinding,Moist acorn,7,0.007,0.008,105,9609,124.467,10.081,4.879524487168316,9.309514602610198
id6-7,tri,Grinding,Moist acorn,8,0.008,0.009,76,7406,96.588,8.009,3.876610615785245,7.22430360205447
id6-7,tri,Grinding,Moist acorn,9,0.009,0.01,47,5413,67.683,4.126,1.9971151705244001,5.062352887500029
id6-7,tri,Grinding,Moist acorn,10,0.01,0.011,22,2475,29.584,1.446,0.6999099700868352,2.2127365486725004
id6-7,tri,Grinding,Moist acorn,11,0.011,0.012,7,438,4.934,0.254,0.12294407496684383,0.36903874158836253
